Region,day,month,year,Temperature,RH,Ws,Rain,FFMC,DMC,DC,ISI,BUI,FWI,Classes
Bejaia Region Dataset,7,9,2013,38,22,21,3.7,42.4,4.1,5.5,0.6,24.8,5.6,not fire
Bejaia Region Dataset,20,8,2013,24,52,9,15.6,68.2,28.9,4.6,1.6,14.2,8.5,not fire
Bejaia Region Dataset,29,8,2014,34,25,29,7.0,74.5,16.5,22.6,5.1,6.7,0.8,not fire
Bejaia Region Dataset,15,9,2012,44,69,10,1.2,36.7,29.0,20.9,12.0,31.5,2.6,not fire
Bejaia Region Dataset,11,8,2014,21,29,30,19.4,36.7,13.0,19.8,8.6,2.7,15.3,not fire
Bejaia Region Dataset,8,6,2014,29,24,16,17.7,27.6,9.4,72.5,7.7,37.4,0.0,not fire
Bejaia Region Dataset,29,8,2013,43,42,27,18.6,76.5,15.2,20.0,4.4,15.9,8.3,not fire
Bejaia Region Dataset,21,7,2014,37,29,25,19.9,71.5,13.2,21.8,14.0,0.0,10.5,not fire
Bejaia Region Dataset,7,9,2013,32,63,14,3.5,58.2,3.2,60.8,6.0,25.6,1.1,not fire
Bejaia Region Dataset,26,6,2012,24,21,26,7.9,84.1,19.2,36.0,1.3,2.3,19.5,not fire
Bejaia Region Dataset,19,9,2013,42,32,25,15.2,81.4,6.5,62.1,9.3,13.8,4.5,not fire
Bejaia Region Dataset,23,7,2012,43,59,31,13.9,66.0,18.6,5.2,1.7,35.3,6.1,not fire
Bejaia Region Dataset,11,7,2013,20,21,29,3.1,85.8,19.5,39.0,5.2,3.1,6.1,not fire
Bejaia Region Dataset,11,7,2014,41,84,10,16.3,39.4,4.6,2.7,7.6,42.0,4.6,not fire
Bejaia Region Dataset,24,8,2014,20,82,31,4.5,32.8,1.8,5.0,13.1,0.2,0.0,not fire
Bejaia Region Dataset,21,8,2012,37,92,12,4.5,43.9,23.4,72.5,7.4,12.3,14.6,not fire
Bejaia Region Dataset,4,9,2012,34,36,6,10.7,29.0,13.8,11.1,10.5,37.0,19.3,not fire
Bejaia Region Dataset,8,9,2012,36,28,16,11.9,62.2,1.7,42.6,14.9,15.8,4.5,not fire
Bejaia Region Dataset,24,6,2013,30,94,17,11.6,90.6,29.8,32.9,2.0,5.1,13.3,not fire
Bejaia Region Dataset,3,6,2013,40,34,29,1.8,27.8,1.7,27.8,4.1,18.0,14.8,fire
Bejaia Region Dataset,22,9,2012,44,43,25,17.5,33.5,20.9,72.0,5.9,13.5,17.0,not fire
Bejaia Region Dataset,21,8,2014,41,57,11,5.3,56.7,29.5,1.7,6.3,42.1,8.5,not fire
Bejaia Region Dataset,2,7,2013,36,54,14,2.6,90.4,7.2,53.1,6.2,15.7,6.1,not fire
Bejaia Region Dataset,24,9,2013,32,68,17,17.8,47.1,4.3,77.1,13.6,39.4,6.5,not fire
Bejaia Region Dataset,12,6,2013,20,88,21,19.1,60.5,3.6,44.8,10.7,44.6,14.3,not fire
Bejaia Region Dataset,30,8,2012,21,81,30,17.2,27.9,9.1,74.9,9.1,21.7,16.3,not fire
